id,source,company,role_title,location,pay,posted_at,responsibilities,recommended_tech_stack,source_url,scraped_at
acc174f71ab63c9b82f3a9224603a68d6e36a09d8d8f0650c7f10d6b2ad1ca0e,yc,AgentHub (S25),Research Engineer Intern,"San Francisco, CA, US",$8K - $11K / monthly,,,"JavaScript, React, Node.js, SQL",https://www.ycombinator.com/companies/agenthub-2/jobs/n7pJmol-research-engineer-intern,2025-10-24T15:43:45.915345
16d8bf0bcc77b850c02be02487f90ac1d53c1ae3f8a6ff2805f3b22c4f4dc0e9,yc,Wafer (S25),Member Of Technical Staff (Winter Intern),"San Francisco, CA, US",$6K - $10K / monthly,,,"JavaScript, React, Node.js, SQL",https://www.ycombinator.com/companies/wafer/jobs/nvcPjYk-member-of-technical-staff-winter-intern,2025-10-24T15:44:07.375249
ed92315e7eb77a33392550944d2371c762a1fd253a2460cfed7193194142c933,yc,Besimple AI (X25),Product Engineering Intern - Remote Part Time,US / Remote (US),$6K - $10K / monthly,,,"Figma, User Research, A/B Testing",https://www.ycombinator.com/companies/besimple-ai/jobs/4xtyZqg-product-engineering-intern-remote-part-time,2025-10-24T15:44:42.384629
