company,role_title,location,pay,source_url,responsibilities,recommended_tech_stack,posted_at,scraped_at
Bindwell,Machine Learning Intern (Summer 2026),"San Francisco, CA, US",$6.5K - $10K / monthly,https://www.workatastartup.com/companies/bindwell/jobs/k3dfghz-machine-learning-intern-summer-2026,,"Machine learning, Torch/PyTorch, ML, Deep Learning",4 months,2025-10-25T23:46:59.723699
ThirdLayer,2026 Summer AI/ML Engineer Intern,"San Francisco, CA, US",$6K - $10K / monthly,https://www.workatastartup.com/companies/thirdlayer/jobs/jgOpS9K-2026-summer-ai-ml-engineer-intern,,,about 2 months,2025-10-25T23:46:59.723699
BrowserOS,ML Research Engineer Intern,"San Francisco, CA, US",$6K - $10K / monthly,https://www.workatastartup.com/companies/browseros/jobs/XFrdIN5-ml-research-engineer-intern,,"Machine learning, TypeScript",3 months,2025-10-25T23:46:59.723699
Browser Use,Summer Software Engineering Intern (now and Summer 2026),"San Francisco, CA, US",$6K - $16K / monthly,https://www.workatastartup.com/companies/browser-use/jobs/JwGWpEP-summer-software-engineering-intern-now-and-summer-2026,,Python,6 months,2025-10-25T23:46:59.723699
Cekura,AI Engineer Intern (Summer 2026),"San Francisco, CA, US",$4.5K - $5K / monthly,https://www.workatastartup.com/companies/cekura-ai/jobs/ti8zM06-ai-engineer-intern-summer-2026,,,2 months,2025-10-25T23:46:59.723699
Morph,Machine Learning Engineering Intern ,"San Francisco, CA, US",$6K - $10K / monthly,https://www.workatastartup.com/companies/morph/jobs/6enPRLQ-machine-learning-engineering-intern,,,3 months,2025-10-25T23:46:59.723699
