company,role_title,location,pay,source_url,responsibilities,recommended_tech_stack,posted_at,scraped_at,source_file,processed_at,currency,status,business_score,server_score
SafetyKit,"Full Stack Engineer, Intern Summer 2026","San Francisco, CA, US",$12.5K - $16.5K / monthly,https://www.workatastartup.com/companies/safetykit/jobs/eQpUzRD-full-stack-engineer-intern-summer-2026,,"TypeScript, SQL, Amazon Web Services (AWS)",6 months,2025-10-25T23:46:12.109249,yc_jobs_20251025_234612.csv,2025-10-25T23:51:46.707243,,,,
SimCare AI,"Technical Intern (in person, summer '26)","San Francisco, CA, US",$7K - $11K,https://www.workatastartup.com/companies/simcare-ai/jobs/TuIKb5M-technical-intern-in-person-summer-26,,Next.js,about 1 year,2025-10-25T23:46:12.109249,yc_jobs_20251025_234612.csv,2025-10-25T23:51:46.707243,,,,
SubImage,Full Stack Software Engineer Intern [Summer 2026],"San Francisco, CA, US",$6K,https://www.workatastartup.com/companies/subimage/jobs/WLWS24s-full-stack-software-engineer-intern-summer-2026,,,about 2 months,2025-10-25T23:46:12.109249,yc_jobs_20251025_234612.csv,2025-10-25T23:51:46.707243,,,,
Tandem,Summer 2026 Eng Intern,"San Francisco, CA, US",$5K - $8K / monthly,https://www.workatastartup.com/companies/tandem-2/jobs/eCSgoZA-summer-2026-eng-intern,,TypeScript,2 months,2025-10-25T23:46:12.109249,yc_jobs_20251025_234612.csv,2025-10-25T23:51:46.707243,,,,
ThirdLayer,2026 Summer AI/ML Engineer Intern,"San Francisco, CA, US",$6K - $10K / monthly,https://www.workatastartup.com/companies/thirdlayer/jobs/jgOpS9K-2026-summer-ai-ml-engineer-intern,,,about 2 months,2025-10-25T23:46:12.109249,yc_jobs_20251025_234612.csv,2025-10-25T23:51:46.707243,,,,
,Dell Latitude 5491,,,https://salemtechsperts.com/products/dell-latitude-5491,"Hardware is covered for 1 year from the date of purchase with The Greatest Warranty That's Ever Lived!Freshly serviced in-shop with gooch removal and new thermal paste!Important Note: The device in the photo may not be the device you receive. All devices sold will be in reasonable condition (no major defects) butmay have minor scuffs on the display and bodyWant to know more about the devices and the refurbishment process? Check outTHIS VIDEOSpecifications:Intel Core i5-8400H16GB DDR4 RAM1x 16GB stick1x Empty DIMMIntel UHD Graphics 63014"" 1920x1080 displayIntegrated webcam256GB NVMeWindows 11 ProCharger included",,,,salem_laptops_20251025_231628.csv,2025-10-25T23:51:46.730956,USD,Unknown,6.0,9.0
,Dell Latitude 5510,,,https://salemtechsperts.com/products/dell-latitude-5510,"Hardware is covered for 1 year from the date of purchase with The Greatest Warranty That's Ever Lived!Freshly serviced in-shop with gooch removal and new thermal paste!Important Note: The device in the photo may not be the device you receive. All devices sold will be in reasonable condition (no major defects) butmay have minor scuffs on the display and bodyWant to know more about the devices and the refurbishment process? Check outTHIS VIDEOSpecifications:Intel Core i7-10810U32GB DDR4 RAM2x 16GB stickIntel UHD integrated graphics15.6"" 1920x1080 displayNO WEBCAMBacklit keyboard512GB NVMeWindows 11 ProCharger included",,,,salem_laptops_20251025_231628.csv,2025-10-25T23:51:46.730956,USD,Unknown,6.5,11.5
,Dell Latitude 7490,,,https://salemtechsperts.com/products/dell-latitude-7490,"Hardware is covered for 1 year from the date of purchase with The Greatest Warranty That's Ever Lived!Freshly serviced in-shop with gooch removal and new thermal paste!Important Note: The device in the photo may not be the device you receive. All devices sold will be in reasonable condition (no major defects) butmay have minor scuffs on the display and bodyWant to know more about the devices and the refurbishment process? Check outTHIS VIDEOSpecifications:Intel Core i5-7300UIntegrated Intel HD Graphics 62016 GB RAM2x 8GB stick256 GB NVMe720p Camera15"" FHD (1920x1080) DisplayWindows 11 ProCharger included",,,,salem_laptops_20251025_231628.csv,2025-10-25T23:51:46.730956,USD,Unknown,6.5,7.5
,Dell OptiPlex 3050 Micro,,,https://salemtechsperts.com/products/dell-optiplex-3050-micro,Hardware is covered for 1 year from the date of purchase with The Greatest Warranty That's Ever Lived!Freshly serviced in-shop with gooch removal and new thermal paste!Important Note: The device in the photo may not be the device you receive. All devices sold will be in reasonable condition (no major defects) butmay have minor scuffs on the display and bodyWant to know more about the devices and the refurbishment process? Check outTHIS VIDEOSpecifications:Intel Core i3-6100T16GB DDR4 RAM2x 8GB stickIntel HD 530 integrated graphics256GB NVMeWindows 11 ProPower adapter included,,,,salem_laptops_20251025_231628.csv,2025-10-25T23:51:46.730956,USD,Unknown,6.0,9.0
,Dell OptiPlex 5060 Micro,,,https://salemtechsperts.com/products/dell-optiplex-5060,Hardware is covered for 1 year from the date of purchase with The Greatest Warranty That's Ever Lived!Freshly serviced in-shop with gooch removal and new thermal paste!Important Note: The device in the photo may not be the device you receive. All devices sold will be in reasonable condition (no major defects) butmay have minor scuffs on the display and bodyWant to know more about the devices and the refurbishment process? Check outTHIS VIDEONOTE: This device only has DisplayPort and VGA - No HDMI!Specifications:Intel Core i5-8500T8 or 16GB DDR4 RAMIntel UHD 630 integrated graphics256GB NVMeWindows 11 Pro LicensePower adapter includedShips with Linux Mint installed,,,,salem_laptops_20251025_231628.csv,2025-10-25T23:51:46.730956,USD,Unknown,4.5,7.0
,Dell Precision 3541,,,https://salemtechsperts.com/products/dell-precision-3541,"Hardware is covered for 1 year from the date of purchase with The Greatest Warranty That's Ever Lived!Freshly serviced in-shop with gooch removal and new thermal paste!Important Note: The device in the photo may not be the device you receive. All devices sold will be in reasonable condition (no major defects) butmay have minor scuffs on the display and bodyWant to know more about the devices and the refurbishment process? Check outTHIS VIDEOSpecifications:Intel Core i7-9850H16GB DDR4 RAM2x 8GB stickIntel UHD integrated graphicsNvidia Quadro P620 dedicated graphics15"" 1920x1080 displayWindows Hello compatible Integrated webcamBacklit keyboard256GB NVMeWindows 11 ProCharger included",,,,salem_laptops_20251025_231628.csv,2025-10-25T23:51:46.730956,USD,Unknown,6.0,9.0
,Dell Precision 3551,,,https://salemtechsperts.com/products/dell-precision-3551,"Hardware is covered for 1 year from the date of purchase with The Greatest Warranty That's Ever Lived!Freshly serviced in-shop with gooch removal and new thermal paste!Important Note: The device in the photo may not be the device you receive. All devices sold will be in reasonable condition (no major defects) butmay have minor scuffs on the display and bodyWant to know more about the devices and the refurbishment process? Check outTHIS VIDEOSpecifications:Intel Core i5 or i7 10th gen16GB DDR4 RAM1x 16GB stick1x Empty DIMMIntel UHD integrated graphicsNvidia Quadro P620 dedicated graphics16"" 1920x1080 displayWindows Hello compatible Integrated webcamBacklit keyboardFingerprint reader256GB NVMeWindows 11 ProCharger included",,,,salem_laptops_20251025_231628.csv,2025-10-25T23:51:46.730956,USD,Unknown,5.5,8.5
